;group_id;user;task_id;n_attempt;spatialDimension;percSpatialValue;PercentileSpatialAbove85;PercentileSpatialBelow15;engageDimension;percEngageValue;PercentileEngageAbove85;PercentileEngageBelow15;exploreDimension;percExploreValue;PercentileExploreAbove85;PercentileExploreBelow15;experimentDimension;percExperimentValue;PercentileExperimentAbove85;PercentileExperimentBelow15;reflexDimension;percReflexValue;PercentileReflexAbove85;PercentileReflexBelow15;errorRectDimension;percErrorRectValue;PercentileErrorRectAbove85;PercentileErrorRectBelow15;persistenceDimension;percPersistenceValue;PercentilePersistenceAbove85;PercentilePersistenceBelow15;completed
2575;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Bird Fez;14;0.0;10.2880658436214;False;False;37.774028;9.876543209876544;False;False;3.0;4.938271604938272;False;True;0.0;4.320987654320988;False;True;0.0;4.320987654320988;False;True;0.0;24.074074074074076;False;False;34.774028;11.522633744855968;False;True;False
2576;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Bird Fez;15;0.08333333333333333;25.514403292181072;False;False;98.28362800000001;21.39917695473251;False;False;15.0;81.48148148148148;False;False;0.2444261211975048;56.37860082304527;False;False;44.306491;60.49382716049383;False;False;1.0;56.584362139917694;False;False;68.36696133333334;20.987654320987655;False;False;True
2596;e6af7d42084352a39449e6d0a09b18cd;a9381a5d6b310e58bb06df10c0a8bcfa;Bird Fez;13;0.5865384615384616;89.7119341563786;True;False;508.209309;85.59670781893004;True;False;14.0;64.19753086419753;False;False;0.23130686906718662;47.325102880658434;False;False;37.751211;51.851851851851855;False;False;0.0;24.074074074074076;False;False;338.3134756666667;83.1275720164609;False;False;True
2601;e6af7d42084352a39449e6d0a09b18cd;a9eac4d5476d2f20a263becdc89ca829;Bird Fez;5;0.42028985507246375;72.42798353909465;False;False;407.56782400000014;77.77777777777779;False;False;13.0;45.26748971193416;False;False;0.2444199864063031;55.967078189300416;False;False;53.906551;73.25102880658436;False;False;1.0;56.584362139917694;False;False;260.6587330909092;74.07407407407408;False;False;False
2609;e6af7d42084352a39449e6d0a09b18cd;b7b6a911ecb48add616af2d2546f77de;Bird Fez;11;0.1;27.160493827160494;False;False;155.477918;38.68312757201646;False;False;13.0;45.26748971193416;False;False;0.25530081564283585;63.78600823045268;False;False;41.119091999999995;55.55555555555556;False;False;1.0;56.584362139917694;False;False;122.65973618181818;45.26748971193416;False;False;True
2631;e6af7d42084352a39449e6d0a09b18cd;be778b20fbbc034986feccd6f320585f;Bird Fez;13;0.4125;71.60493827160494;False;False;558.2654190000001;88.06584362139918;True;False;16.0;91.97530864197532;True;False;0.14541405988012557;17.695473251028808;False;False;185.305538;97.11934156378601;True;False;6.0;92.18106995884774;True;False;377.2862523333334;86.0082304526749;True;False;True
2643;e6af7d42084352a39449e6d0a09b18cd;be92bec7a507e83c33700633c0a59255;Bird Fez;12;0.6989978525411595;96.2962962962963;True;False;366.81324700000016;73.66255144032922;False;False;15.0;81.48148148148148;False;False;0.2480795531664571;59.67078189300412;False;False;179.97057;96.70781893004116;True;False;1.0;56.584362139917694;False;False;194.83546922222234;63.37448559670782;False;False;True
2660;e6af7d42084352a39449e6d0a09b18cd;beecc47689704115072807cd992ddc7b;Bird Fez;11;0.2222222222222222;45.47325102880659;False;False;287.57277199999993;65.02057613168725;False;False;14.0;64.19753086419753;False;False;0.2985626280279959;87.65432098765433;True;False;30.658855;37.03703703703704;False;False;1.0;56.584362139917694;False;False;178.67533610256405;59.67078189300412;False;False;True
2676;e6af7d42084352a39449e6d0a09b18cd;bf0a784fe1efa01dc5a2e1ccd1f731fc;Bird Fez;12;0.18461538461538463;38.68312757201646;False;False;550.535495;87.24279835390946;True;False;15.0;81.48148148148148;False;False;0.23637145821766173;51.851851851851855;False;False;34.37902066666667;46.09053497942387;False;False;9.0;95.88477366255144;True;False;393.6371899152542;88.06584362139918;True;False;True
2692;e6af7d42084352a39449e6d0a09b18cd;ca35f06de1cb31608714f602522da941;Bird Fez;15;0.16666666666666666;36.0082304526749;False;False;287.43815299999994;64.60905349794238;False;False;14.0;64.19753086419753;False;False;0.295493584686072;84.77366255144034;False;False;19.456648;16.872427983539094;False;False;5.0;89.09465020576133;True;False;209.63815299999996;68.3127572016461;False;False;True
2702;e6af7d42084352a39449e6d0a09b18cd;cc9b0177c4af699f8c39c9f7126fa4a4;Bird Fez;11;0.43333333333333335;74.2798353909465;False;False;307.68910600000004;67.48971193415638;False;False;13.0;45.26748971193416;False;False;0.22633961223051474;44.44444444444444;False;False;33.946556333333334;44.8559670781893;False;False;0.0;24.074074074074076;False;False;222.83910600000004;70.37037037037037;False;False;True
2715;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Bird Fez;11;0.16666666666666666;36.0082304526749;False;False;461.1498640000001;81.89300411522635;False;False;14.0;64.19753086419753;False;False;0.22245213178174733;41.56378600823045;False;False;51.09879433333334;70.37037037037037;False;False;0.0;24.074074074074076;False;False;322.20158813793114;82.3045267489712;False;False;True
2748;e6af7d42084352a39449e6d0a09b18cd;e38b2dcc1efd0d9e05a0059b29939914;Bird Fez;12;0.0625;23.045267489711936;False;False;178.498957;45.26748971193416;False;False;13.0;45.26748971193416;False;False;0.23347810756317294;50.20576131687243;False;False;30.239206;35.80246913580247;False;False;1.0;56.584362139917694;False;False;129.61660405882353;47.73662551440329;False;False;True
2762;e6af7d42084352a39449e6d0a09b18cd;e475e17ea1c7251d27d011af6111af63;Bird Fez;11;0.49473684210526314;81.48148148148148;False;False;630.7251640000001;91.35802469135803;True;False;13.0;45.26748971193416;False;False;0.20552146702434;33.333333333333336;False;False;41.948301;58.0246913580247;False;False;6.0;92.18106995884774;True;False;431.81950362264155;91.76954732510288;True;False;False
2774;e6af7d42084352a39449e6d0a09b18cd;e71fff89938ec1fe219e736fa36f8b6b;Bird Fez;11;0.2857142857142857;54.32098765432099;False;False;74.319154;15.226337448559672;False;True;11.0;20.5761316872428;False;False;0.2587152283950028;67.07818930041152;False;False;25.418579;24.691358024691358;False;False;0.0;24.074074074074076;False;False;54.48582066666667;16.872427983539094;False;False;True
2790;e6af7d42084352a39449e6d0a09b18cd;e94bcd5830a6a2d1e9af610edfdc52dc;Bird Fez;12;0.20833333333333334;42.181069958847736;False;False;781.460716;94.65020576131687;True;False;14.0;64.19753086419753;False;False;0.20616325047915857;34.15637860082305;False;False;45.283082;62.13991769547325;False;False;8.0;94.85596707818931;True;False;571.5338867317074;94.65020576131687;True;False;True
2805;e6af7d42084352a39449e6d0a09b18cd;eb31edc705bc6a52f30c37c1622267cc;Bird Fez;2;0.14814814814814814;32.510288065843625;False;False;212.02103200000002;54.32098765432099;False;False;14.0;64.19753086419753;False;False;0.23030613569512454;46.50205761316872;False;False;34.76075;47.325102880658434;False;False;1.0;56.584362139917694;False;False;153.10103200000003;53.49794238683128;False;False;True
2830;e6af7d42084352a39449e6d0a09b18cd;ef0b43cdf2d6ac99ff1bf5c2284e932a;Bird Fez;9;0.42424242424242425;72.8395061728395;False;False;169.63716899999997;42.79835390946502;False;False;12.0;29.62962962962963;False;False;0.2669706167020167;71.19341563786008;False;False;33.171076;43.62139917695473;False;False;1.0;56.584362139917694;False;False;110.73240709523807;40.32921810699589;False;False;True
2856;e6af7d42084352a39449e6d0a09b18cd;f22d5e004366e83c9eb106b13b21bc9d;Bird Fez;11;0.0;10.2880658436214;False;False;208.66672;52.674897119341566;False;False;12.0;29.62962962962963;False;False;0.30147941347351237;88.47736625514403;True;False;36.327013;49.382716049382715;False;False;0.0;24.074074074074076;False;False;144.71935157894737;50.617283950617285;False;False;True
2877;e6af7d42084352a39449e6d0a09b18cd;f50c8d5d6414f0e64ef8c21973d0a6d6;Bird Fez;12;0.2127659574468085;42.79835390946502;False;False;349.82815700000003;72.0164609053498;False;False;16.0;91.97530864197532;True;False;0.2403053864889751;53.909465020576135;False;False;44.423603;60.90534979423869;False;False;3.0;77.77777777777779;False;False;223.903157;70.78189300411523;False;False;True
